rainfall_mm,transport_cost_lrd,supply_bags,price_next_day_lrd
18.7,2702,111,3179.0
47.5,2401,86,3178.0
36.6,2729,148,3060.0
29.9,2161,153,2851.0
7.8,2201,84,2907.0
7.8,2995,150,3009.0
2.9,2269,180,2631.0
43.3,2815,50,3424.0
30.1,3294,54,3430.0
35.4,2455,191,2930.0
1.0,3485,152,3187.0
48.5,3275,76,3420.0
41.6,3016,186,3103.0
10.6,2295,64,3036.0
9.1,2719,139,2980.0
9.2,2337,91,2982.0
15.2,2878,173,2989.0
26.2,3076,112,3218.0
21.6,2791,145,3127.0
14.6,2216,101,2989.0
30.6,2763,145,2967.0
7.0,2187,181,2803.0
14.6,2379,192,2911.0
18.3,2492,78,3145.0
22.8,3064,85,3252.0
39.3,3180,62,3392.0
10.0,2014,120,2851.0
25.7,2064,135,2847.0
29.6,2520,77,3168.0
2.3,3367,115,3191.0
30.4,3152,94,3371.0
8.5,2647,111,2995.0
3.3,3495,183,3077.0
47.4,3086,77,3428.0
48.3,3162,77,3533.0
40.4,2592,157,3070.0
15.2,2391,93,2986.0
4.9,2418,133,2927.0
34.2,2288,79,3135.0
22.0,2378,124,2928.0
6.1,2230,177,2719.0
24.8,3017,141,3202.0
1.7,2040,178,2686.0
45.5,3051,170,3079.0
12.9,2134,76,2977.0
33.1,2200,170,2932.0
15.6,2779,165,2940.0
26.0,2929,52,3339.0
27.3,3056,152,3243.0
9.2,3071,186,3015.0
