date,rainfall_mm,transport_cost_lrd,supply_bags,price_lrd,scarcity_alert
2026-04-01,17.7,2935.0,158,3261.0,True
2026-04-02,19.4,3843.0,45,4182.0,True
2026-04-03,50.9,2655.0,218,2941.0,True
2026-04-04,8.2,2268.0,221,4131.0,False
2026-04-05,42.5,2369.0,220,3268.0,True
2026-04-06,33.2,2635.0,98,,False
2026-04-07,17.8,3129.0,51,3848.0,False
2026-04-08,25.2,3693.0,122,3015.0,True
2026-04-09,15.4,3682.0,224,3539.0,False
2026-04-10,36.7,2656.0,105,3291.0,False
2026-04-11,4.9,2119.0,183,2835.0,True
2026-04-12,0.3,2830.0,173,4282.0,False
2026-04-13,37.7,999999.0,208,2757.0,False
2026-04-14,11.7,3627.0,115,2996.0,False
2026-04-15,4.3,3081.0,214,3395.0,False
2026-04-16,23.8,3974.0,58,2659.0,False
2026-04-17,3.0,3369.0,235,3998.0,False
2026-04-18,53.2,2740.0,249,3351.0,True
2026-04-19,1.7,3497.0,98,4187.0,False
2026-04-20,34.7,2116.0,76,4431.0,False
2026-04-21,26.3,3853.0,123,,False
2026-04-22,40.3,2790.0,219,4198.0,False
2026-04-23,19.7,3150.0,226,2879.0,False
2026-04-24,9.3,3416.0,233,4068.0,False
2026-04-25,58.9,3931.0,173,4452.0,False
2026-04-26,50.3,3012.0,247,3456.0,False
2026-04-27,51.6,3664.0,247,3190.0,False
2026-04-28,15.0,3081.0,205,3950.0,False
2026-04-29,2.3,2633.0,114,4136.0,False
2026-04-30,18.2,2512.0,68,3791.0,False
2026-05-01,32.2,3774.0,129,4358.0,True
2026-05-02,19.6,2801.0,62,4100.0,False
2026-05-03,49.7,3119.0,130,3940.0,False
2026-05-04,16.3,3661.0,52,3691.0,False
2026-05-05,57.9,3141.0,39,4365.0,False
2026-05-06,27.4,2559.0,98,3566.0,False
2026-05-07,50.5,3624.0,129,4079.0,False
2026-05-08,11.7,2487.0,63,2784.0,True
2026-05-09,24.7,3260.0,209,2896.0,False
2026-05-10,42.0,3908.0,167,2511.0,True
